  simno it age mass belief forage env state info
   1    6    3  2.00 0.534 0.778    0    1 0.000000578154265
   1    6    4  3.00 0.631 0.796    0    1 0.000000707350527
   1    6    5  4.00 0.718 0.770    0    1 0.000000541039817
   1    6    6  5.00 0.792 0.750    0    1 0.000000363930050
   1    6    7  6.00 0.850 0.732    0    1 0.000000217350734
   1    6    8  7.00 0.894 0.720    0    1 0.000000123578522
   1    6    9  8.00 0.927 0.712    0    1 0.000000064118063
   1    6   10  8.00 0.910 0.706    0    1 0.000000033756035
   1    6   11  8.00 0.889 0.710    0    1 0.000000051092774
   1    6   12  8.00 0.865 0.714    0    1 0.000000079956937
   1    6   13  9.00 0.905 0.718    0    1 0.000000118323759
   1    6   14  9.00 0.884 0.710    0    1 0.000000057438282
   1    6   15  9.00 0.858 0.714    0    1 0.000000088024464
   1    6   16  9.00 0.828 0.720    0    1 0.000000125511955
   1    6   17  9.00 0.792 0.726    0    1 0.000000188809946
   1    6   18  9.00 0.750 0.734    0    1 0.000000273694003
   1    6   19 10.00 0.817 0.744    0    1 0.000000396001487
   1    6   20 10.00 0.780 0.728    0    1 0.000000223640229
   1    6   21 11.00 0.841 0.736    0    1 0.000000327806824
   1    6   22 11.00 0.807 0.722    0    1 0.000000189193584
   1    6   23 12.00 0.862 0.730    0    1 0.000000266200000
   1    6   24 13.00 0.903 0.718    0    1 0.000000149834394
   1    6   25 14.00 0.933 0.710    0    1 0.000000080337132
   1    6   26 14.00 0.917 0.704    0    1 0.000000041590668
   1    6   27 14.00 0.899 0.708    0    1 0.000000061358202
   1    6   28 15.00 0.930 0.712    0    1 0.000000087706853
   1    6   29 15.00 0.914 0.706    0    1 0.000000044187635
   1    6   30 16.00 0.940 0.708    0    1 0.000000068717180
   1    6   31 16.00 0.927 0.704    0    1 0.000000037965995
   1    6   32 17.00 0.950 0.706    0    1 0.000000053881273
   1    6   33 17.00 0.938 0.702    0    1 0.000000022406508
   1    6   34 17.00 0.924 0.704    0    1 0.000000038369977
   1    6   35 18.00 0.947 0.706    0    1 0.000000058470227
   1    6   36 18.00 0.935 0.702    0    1 0.000000026065824
   1    6   37 19.00 0.956 0.704    0    1 0.000000043405569
   1    6   38 20.00 0.970 0.700    0    1 0.000000023738542
   1    6   39 20.00 0.963 0.698    0    1 0.000000008783316
   1    6   40 21.00 0.975 0.700    0    1 0.000000013348722
   1    6   41 21.00 0.969 0.697    0    0 0.000000008637062
   1    7    1  1.00 0.500 0.000    0    1 0.000000000000000
   1    7    2  2.00 0.598 0.804    0    1 0.000000725800000
   1    7    3  3.00 0.690 0.778    0    1 0.000000578154265
   1    7    4  3.00 0.634 0.754    0    1 0.000000407145147
   1    7    5  4.00 0.721 0.768    0    1 0.000000532682173
   1    7    6  5.00 0.794 0.748    0    1 0.000000354124361
   1    7    7  5.00 0.752 0.732    0    1 0.000000211992150
   1    7    8  6.00 0.819 0.742    0    1 0.000000304015621
   1    7    9  7.00 0.871 0.726    0    1 0.000000175440412
   1    7   10  7.00 0.843 0.716    0    1 0.000000094886547
   1    7   11  7.00 0.810 0.722    0    1 0.000000141567260
   1    7   12  8.00 0.864 0.730    0    1 0.000000211650918
   1    7   13  8.00 0.835 0.718    0    1 0.000000120694161
   1    7   14  8.00 0.800 0.724    0    1 0.000000168870487
   1    7   15  9.00 0.856 0.732    0    1 0.000000248699072
   1    7   16  9.00 0.826 0.720    0    1 0.000000135060402
   1    7   17 10.00 0.876 0.726    0    1 0.000000199969880
   1    7   18 10.00 0.849 0.716    0    1 0.000000108994163
   1    7   19 11.00 0.893 0.722    0    1 0.000000156608886
   1    7   20 11.00 0.870 0.712    0    1 0.000000084284953
   1    7   21 12.00 0.909 0.718    0    1 0.000000121646554
   1    7   22 12.00 0.888 0.710    0    1 0.000000064742722
   1    7   23 12.00 0.863 0.714    0    1 0.000000099090268
   1    7   24 12.00 0.834 0.718    0    1 0.000000152373788
   1    7   25 12.00 0.799 0.724    0    1 0.000000216762208
   1    7   26 12.00 0.758 0.732    0    1 0.000000318402278
   1    7   27 12.00 0.711 0.742    0    1 0.000000446647748
   1    7   28 12.00 0.658 0.753    0    1 0.000000619404482
   1    7   29 12.00 0.598 0.766    0    1 0.000000828415594
   1    7   30 13.00 0.689 0.784    0    1 0.000001066821428
   1    7   31 14.00 0.768 0.760    0    1 0.000000751326390
   1    7   32 14.00 0.722 0.740    0    1 0.000000465338637
   1    7   33 14.00 0.669 0.752    0    1 0.000000652482504
   1    7   34 15.00 0.751 0.765    0    1 0.000000883884769
   1    7   35 16.00 0.818 0.744    0    1 0.000000564472804
   1    7   36 16.00 0.781 0.728    0    1 0.000000318854440
   1    7   37 16.00 0.737 0.737    0    1 0.000000474029303
   1    7   38 17.00 0.807 0.748    0    1 0.000000668953182
   1    7   39 17.00 0.767 0.732    0    1 0.000000386760790
   1    7   40 17.00 0.721 0.741    0    1 0.000000570106700
   1    7   41 18.00 0.794 0.753    0    1 0.000000798711314
   1    7   42 19.00 0.852 0.734    0    1 0.000000472875625
   1    7   43 20.00 0.896 0.722    0    1 0.000000266897120
   1    7   44 20.00 0.872 0.712    0    1 0.000000127042080
   1    7   45 20.00 0.845 0.718    0    1 0.000000203268942
   1    7   46 21.00 0.890 0.724    0    1 0.000000308927196
   1    7   47 21.00 0.866 0.714    0    1 0.000000163089799
   1    7   48 21.00 0.837 0.718    0    1 0.000000259581803
   1    7   49 21.00 0.802 0.726    0    1 0.000000374556002
   1    7   50 22.00 0.858 0.734    0    1 0.000000548995717
   1    7   51 22.00 0.828 0.720    0    1 0.000000282203659
   1    7   52 22.00 0.791 0.728    0    1 0.000000436713231
   1    7   53 22.00 0.749 0.737    0    1 0.000000639834090
   1    7   54 23.00 0.817 0.748    0    1 0.000000933002823
   1    7   55 24.00 0.869 0.730    0    1 0.000000525544126
   1    7   56 24.00 0.841 0.718    0    0 0.000000264604172
   1    8    1  1.00 0.500 0.000    0    1 0.000000000000000
   1    8    2  1.00 0.431 0.804    0    1 0.000000725800000
   1    8    3  1.00 0.362 0.826    0    1 0.000000802531585
   1    8    4  1.00 0.295 0.848    0    1 0.000000807001108
   1    8    5  2.00 0.384 0.871    0    1 0.000000743185545
   1    8    6  3.00 0.481 0.842    0    1 0.000000859445236
   1    8    7  4.00 0.580 0.811    0    1 0.000000840889988
   1    8    8  5.00 0.673 0.784    0    1 0.000000697353248
   1    8    9  6.00 0.754 0.760    0    1 0.000000499569429
   1    8   10  7.00 0.821 0.740    0    1 0.000000319726783
   1    8   11  7.00 0.784 0.726    0    1 0.000000185973821
   1    8   12  7.00 0.741 0.734    0    1 0.000000269932446
   1    8   13  8.00 0.810 0.744    0    1 0.000000374334251
   1    8   14  8.00 0.771 0.730    0    1 0.000000224129081
   1    8   15  8.00 0.726 0.738    0    1 0.000000317381168
   1    8   16  9.00 0.798 0.748    0    1 0.000000441726207
   1    8   17 10.00 0.855 0.732    0    1 0.000000266314893
   1    8   18 10.00 0.824 0.720    0    1 0.000000149042130
   1    8   19 10.00 0.787 0.726    0    1 0.000000220645861
   1    8   20 11.00 0.846 0.734    0    1 0.000000313968792
   1    8   21 12.00 0.892 0.722    0    1 0.000000170851537
   1    8   22 13.00 0.925 0.712    0    1 0.000000097318565
   1    8   23 13.00 0.907 0.706    0    1 0.000000046052217
   1    8   24 13.00 0.887 0.710    0    1 0.000000069606096
   1    8   25 13.00 0.862 0.714    0    1 0.000000101177570
   1    8   26 14.00 0.903 0.718    0    1 0.000000158724443
   1    8   27 15.00 0.933 0.710    0    1 0.000000086964228
   1    8   28 15.00 0.917 0.704    0    1 0.000000044405434
   1    8   29 16.00 0.943 0.708    0    1 0.000000065225576
   1    8   30 17.00 0.961 0.703    0    1 0.000000032727539
   1    8   31 18.00 0.974 0.700    0    1 0.000000011403003
   1    8   32 18.00 0.967 0.698    0    1 0.000000006110469
   1    8   33 18.00 0.960 0.699    0    1 0.000000011803686
   1    8   34 19.00 0.973 0.700    0    1 0.000000014581866
   1    8   35 19.00 0.966 0.698    0    1 0.000000006965199
   1    8   36 19.00 0.958 0.700    0    1 0.000000017966970
   1    8   37 20.00 0.971 0.700    0    1 0.000000021863846
   1    8   38 21.00 0.981 0.698    0    0 0.000000007856475
   1    9    1  1.00 0.500 0.000    0    1 0.000000000000000
   1    9    2  1.00 0.431 0.804    0    1 0.000000725800000
   1    9    3  2.00 0.530 0.826    0    1 0.000000802531585
   1    9    4  3.00 0.627 0.796    0    1 0.000000712702124
   1    9    5  4.00 0.715 0.771    0    1 0.000000552230616
   1    9    6  5.00 0.789 0.750    0    1 0.000000371103748
   1    9    7  5.00 0.747 0.734    0    1 0.000000225600448
   1    9    8  5.00 0.698 0.742    0    1 0.000000316199361
   1    9    9  6.00 0.775 0.754    0    1 0.000000434328958
   1    9   10  7.00 0.837 0.736    0    1 0.000000268274714
   1    9   11  8.00 0.885 0.724    0    1 0.000000155333352
   1    9   12  8.00 0.859 0.714    0    1 0.000000079421363
   1    9   13  8.00 0.829 0.720    0    1 0.000000117735533
   1    9   14  8.00 0.793 0.725    0    1 0.000000177672085
   1    9   15  8.00 0.752 0.732    0    1 0.000000256024254
   1    9   16  9.00 0.819 0.742    0    1 0.000000363920745
   1    9   17 10.00 0.871 0.728    0    1 0.000000207618344
   1    9   18 11.00 0.910 0.717    0    1 0.000000114304238
   1    9   19 12.00 0.938 0.710    0    1 0.000000060742645
   1    9   20 13.00 0.957 0.704    0    1 0.000000029025427
   1    9   21 13.00 0.947 0.700    0    1 0.000000016417374
   1    9   22 13.00 0.935 0.702    0    1 0.000000020189868
   1    9   23 14.00 0.955 0.704    0    1 0.000000033684410
   1    9   24 15.00 0.970 0.701    0    1 0.000000018470315
   1    9   25 16.00 0.979 0.698    0    1 0.000000007103724
   1    9   26 16.00 0.975 0.696    0    1 0.000000002384889
   1    9   27 17.00 0.983 0.697    0    1 0.000000006647195
   1    9   28 17.00 0.979 0.696    0    1 0.000000000000000
   1    9   29 17.00 0.974 0.696    0    1 0.000000005114367
   1    9   30 18.00 0.982 0.698    0    1 0.000000005779179
   1    9   31 18.00 0.978 0.696    0    1 0.000000000000000
   1    9   32 19.00 0.985 0.696    0    1 0.000000008014800
   1    9   33 20.00 0.990 0.696    0    1 0.000000001140485
   1    9   34 20.00 0.988 0.694    0    1 0.000000001278673
   1    9   35 20.00 0.985 0.696    0    1 0.000000004908336
   1    9   36 21.00 0.990 0.696    0    1 0.000000000669425
   1    9   37 21.00 0.987 0.694    0    1 0.000000002102424
   1    9   38 21.00 0.984 0.696    0    1 0.000000004347846
   1    9   39 21.00 0.980 0.696    0    1 0.000000000196631
   1    9   40 22.00 0.987 0.696    0    1 0.000000000471482
   1    9   41 23.00 0.991 0.696    0    1 0.000000003719456
   1    9   42 23.00 0.989 0.694    0    1 0.000000000461099
   1    9   43 24.00 0.992 0.695    0    1 0.000000004383661
   1    9   44 25.00 0.995 0.694    0    1 0.000000000000000
   1    9   45 25.00 0.994 0.694    0    1 0.000000000000000
   1    9   46 26.00 0.996 0.694    0    0 0.000000000000000
   1   10    1  1.00 0.500 0.000    0    1 0.000000000000000
   1   10    2  2.00 0.598 0.804    0    1 0.000000725800000
   1   10    3  3.00 0.690 0.778    0    1 0.000000578154265
   1   10    4  3.00 0.634 0.754    0    1 0.000000407145147
   1   10    5  4.00 0.721 0.768    0    1 0.000000532682173
   1   10    6  5.00 0.794 0.748    0    1 0.000000354124361
   1   10    7  6.00 0.852 0.732    0    1 0.000000211992150
   1   10    8  7.00 0.896 0.720    0    1 0.000000122226947
   1   10    9  7.00 0.872 0.712    0    1 0.000000061300069
   1   10   10  8.00 0.911 0.716    0    1 0.000000093826413
   1   10   11  8.00 0.890 0.709    0    1 0.000000049294108
   1   10   12  9.00 0.924 0.714    0    1 0.000000078618884
   1   10   13  9.00 0.906 0.706    0    1 0.000000035907607
   1   10   14  9.00 0.885 0.710    0    1 0.000000056101506
   1   10   15 10.00 0.920 0.714    0    1 0.000000081022502
